name,cg tank condition,focal sex,male chased another male,male chased by another male,total male-male chases,female chased by male,male displays to female,parallel swims with female,dorsal fin extension to female,sigmoid/gonopodial swing to female,body contact with female,total male courting ,displays received by female,parallel swims with male,dorsal fin extension received by female,sigmoid/gonopodial swing received by female,body contact received by female,total courting received by female,male foraging,female foraging,female chased by female,male chasing juvenile 
Jung,FF,F,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8,,
Flores,LL ,M,5,1,,4,1,0,0,0,0,1,,,,,,0,1,,,
Flores,LL ,F,,,,1,,,,,,0,,2,,,,2,,4,,
Flores,LS,M,1,1,,2,2,0,0,0,1,3,,,,,,0,3,,,
Flores,LS,F,,,,5,,0,,,,,2,,,,,2,,4,,
Flores,SS,M,3,2,,2,0,1,0,0,2,,0,0,0,0,0,0,0,0,,
Flores,SS,F,0,0,,3,0,0,0,0,0,,0,2,0,0,0,2,0,3,,
Flores,II ,M,1,3,,0,0,0,0,0,0,,0,0,0,0,0,0,7,,,
Flores,II ,F,,,,,,,,,,,,,,,,0,,,,
Flores,FF,F,,,,0,0,0,0,0,0,,0,0,0,0,0,0,,14,8,
Tharoor,LL,M,1,5,,4,1,0,0,0,0,,,,,,,0,1,,,
Tharoor,LL,F,,,,1,,,,,,,3,2,0,0,0,5,,5,,
Tharoor,LS,M,6,0,,1,2,0,1,0,0,,,,,,,0,3,,,
Tharoor,LS,F,,,,,,,,,,,1,0,0,0,0,1,,8,,
Tharoor,SS,M,5,0,,0,0,1,0,0,0,,,,,,,0,7,,,
Tharoor,SS,F,,,,1,,,,,,,,,,,,0,,1,,
Tharoor,II,M,1,0,,2,4,2,1,0,0,,,,,,,0,3,,,
Tharoor,II,F,,,,,,,,,,,,1,,,,1,,13,,
Tharoor,FF,F,18,,,,,,,,4,,,,,,,0,,15,,
Chavez,LL,M,2,1,,3,2,1,0,1,0,,,,,,,0,4,,,
Chavez,LL,F,,,,4,,,,,,,0,1,0,0,0,1,,2,1,
Chavez,LS,M,1,4,,,0,1,0,1,1,,,,,,,0,0,,,
Chavez,LS,F,,,,0,,,,,,,0,0,0,0,0,0,,5,,
Chavez,SS,M,2,,,3,,1,,,1,,,,,,,0,2,,,
Chavez,SS,F,,,,3,,,,,,,,,,,,,,1,,
Chavez,II,M,2,,,,1,,,,,,,,,,,,1,,,
Chavez,II,F,,,,2,,,,,,,,,,,,,,3,,
Chavez,FF,F,,,,,,,,,,,,,,,,,,3,1,
Srikanth,LL,M,3,0,3,5,7,2,0,3,1,18,0,,,,,,2,,,
Srikanth,LL,F,,,,5,,,,,,,,3,,,,3,,5,3,
Srikanth,LS,M,5,2,7,2,4,1,0,0,1,8,0,,0,0,0,0,2,,,
Srikanth,LS,F,,,,2,,,,,,,,1,,,,1,,6,,
Srikanth,SS,M,5,1,6,1,1,3,0,0,0,4,0,0,0,0,0,0,0,,,0
Srikanth,SS,F,,,,5,,,,,,,,2,,,,,,5,,
Srikanth,II,M,2,0,2,0,1,3,0,0,0,1,0,0,0,0,0,0,2,,,
Srikanth,II,F,,,,3,,,,,,,,,,,,,,12,,
Srikanth,FF,F,,,,,,,,,,,,,,,,,,12,5,
Kuchimanchi,LL,M,5,0,5,5,4,2,0,0,1,12,,,,,,,,,,
Kuchimanchi,LL,F,,,,7,,,,,,7,3,1,0,0,1,5,,8,,
Kuchimanchi,LS,M,2,3,5,1,0,0,0,0,0,1,,,,,,,1,,,
Kuchimanchi,LS,F,,,,,,,,,,,0,0,0,0,0,0,,2,,
Kuchimanchi,SS,M,8,0,8,5,0,0,0,0,0,5,,,,,,,,,,
Kuchimanchi,SS,F,,,,2,,,,,,2,0,1,0,0,0,1,,4,1,
Kuchimanchi,II,M,0,1,1,0,0,0,0,0,0,0,,,,,,,,,,
Kuchimanchi,II,F,,,,1,,,,,,1,0,0,0,0,0,0,,9,,
Kuchimanchi,FF,F,,,,,,,,,,,0,0,0,0,0,0,,10,14,
Franco,LL,M,5,0,5,7,5,7,0,1,0,20,,,,,,,0,,,1
Franco,LL,F,,,,,,,,,,,4,3,0,0,0,7,,9,1,
Franco,LS,M,17,1,18,3,6,1,0,0,1,11,,,,,,,4,,,5
Franco,LS,F,,,,,,,,,,,0,1,1,0,0,2,,14,,
Franco,SS,M,,,,,,,,,,,,,,,,,,,,
Franco,SS,F,,,,,,,,,,,,,,,,,,,,
Franco,II,M,,,,,,,,,,,,,,,,,,,,
Franco,II,F,,,,,,,,,,,,,,,,,,,,
Franco,FF,F,,,,,,,,,,,0,0,0,0,0,0,,9,6,
Byelousova,LL,M,7,0,7,,4,7,0,1,0,12,,,,,,,0,,,
Byelousova,LL,F,,,,5,,,,,,,4,9,2,0,0,15,,6,1,
Byelousova,LS,M,10,0,10,,13,3,4,2,0,22,,,,,,,1,,,
Byelousova,LS,F,,,,3,,,,,,,3,2,0,0,0,5,,8,3,
Byelousova,II,M,3,1,4,,3,3,2,1,0,9,,,,,,,0,,,
Byelousova,II,F,,,,8,,,,,,,8,5,3,0,0,16,,15,1,
Byelousova,SS,M,7,1,8,,0,4,0,0,0,4,,,,,,,0,,,
